,highway,side,between,time,period,start_loc,end_loc
976,Geary Avenue,South,Salem Avenue North and a point 26 metres west of Westmoreland Avenue North,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Salem Avenue North , a point 26 metres west of Westmorel
977,Geary Avenue,South,A point 44 metres west of Dufferin Street and a point 178 metres further west,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 44 metres west of Dufferin Street , a point 178 metres further west
978,Geary Avenue,South,A point 237 metres west of Dufferin Street and a point 111 metres further west,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 237 metres west of Dufferin Street , a point 111 metres further west
980,George Street (TO),West,A point 126.3 metres north of Shuter Street and Dundas Street East,10:00 a.m. to 3:30 p.m.,1 hour,A point 126.3 metres north of Shuter Street , Dundas Street East
981,George Street (TO),West,Shuter Street and a point 88 metres north,10:00 a.m. to 3:30 p.m.,1 hour,Shuter Street , a point 88 metres north
983,George Street (TO),West,A point 30.5 metres north of King Street East and and Adelaide Street East,8:00 a.m. to 6:00 p.m.,1 hour,A point 30.5 metres north of King Street East , 
986,George Street (TO),East,Queen Street East and a point 33.5 metres south of Shuter Street,Anytime,1 hour,Queen Street East , a point 33.5 metres south of Shuter Street
987,George Street South,West,A point 44 metres south of The Esplanade and a point 28.5 metres further south,"7:30 a.m. to 9:30 a.m., 11:30 a.m. to 1:30 p.m., 3:30 p.m. to 5:30 p.m., Mon. to Fri.",10 mins.,A point 44 metres south of The Esplanade , a point 28.5 metres further south
988,George Street South,Both,The Esplanade and Front Street East,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,The Esplanade , Front Street East
989,George Street South,East,Albert Franck Place and The Esplanade,"8:00 a.m. to 4:00 p.m., Mon. to Sat.",1 hour,Albert Franck Place , The Esplanade
990,Gerrard Street East,South,Parliament Street (south intersection) and Broadview Avenue,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Parliament Street (south intersection) , Broadview Avenue
991,Glebe Road West,North,Duplex Avenue and a point 38.9 metres east of Duplex Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Duplex Avenue , a point 38.9 metres east of Duplex Avenue
994,Glebemount Avenue,West,Danforth Avenue and Wolverleigh Boulevard,8:00 a.m. to 6:00 p.m.,1 hour,Danforth Avenue , Wolverleigh Boulevard
996,Gledhill Avenue,West,A point 125 metres north of Danforth Avenue and a point 9 metres south of King Edward Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 125 metres north of Danforth Avenue , a point 9 metres south of King Edward Avenue
997,Glen Cedar Road,East,Ava Road and Dewbourne Avenue,Anytime,1 hour,Ava Road , Dewbourne Avenue
998,Glen Edyth Drive,East and north,Davenport Road and the west end of Glen Edyth Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Davenport Road , the west end of Glen Edyth Drive
999,Glen Everest Road,East,Kingston Road and Aylesford Drive,"7:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Kingston Road , Aylesford Drive
1000,Glen Gordon Road,North,Indian Grove and Indian Road Crescent,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Indian Grove , Indian Road Crescent
1001,Glen Manor Drive,West,A point 133 metres north of Queen Street East (west intersection) and a point 33 metres further north,Anytime,2 hours,A point 133 metres north of Queen Street East (west intersection) , a point 33 metres further north
1003,Glen Morris Street,North,A point 15 metres west of Huron Street and a point 23 metres further west,"8:00 a.m. to 10:00 a.m., 3:30 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 15 metres west of Huron Street , a point 23 metres further west
1004,Glen Morris Street,South,Spadina Avenue and Huron Street,Anytime,1 hour,Spadina Avenue , Huron Street
1005,Glenarden Road,West,Eglinton Avenue West and Old Forest Hill Road,8:00 a.m. to 6:00 p.m.,1 hour,Eglinton Avenue West , Old Forest Hill Road
1006,Glenburn Avenue,West,Amsterdam Avenue and the north end of Glenburn Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Amsterdam Avenue , the north end of Glenburn Avenue
1007,Glencairn Avenue,South,Yonge Street and a point 32 metres west,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Yonge Street , a point 32 metres west
1008,Glencairn Avenue,South,Yonge Street and Duplex Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Yonge Street , Duplex Avenue
1009,Glendale Avenue,East,Garden Avenue and Wright Avenue,10:00 a.m. to 6:00 p.m.,1 hour,Garden Avenue , Wright Avenue
1010,Glendonwynne Road,East,Glenlake Avenue (north intesrection) and Evelyn Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Glenlake Avenue (north intesrection) , Evelyn Avenue
1011,Glendonwynne Road,East,Norma Crescent and a point 50 metres further north,"10:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Norma Crescent , a point 50 metres further north
1012,Glendonwynne Road,East,A point 90 metres north of Norma Crescent and Glenlake Avenue (north intersection),"10:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 90 metres north of Norma Crescent , Glenlake Avenue (north intersection)
1014,Glenforest Road,North,Mount Pleasant Road and a point 35 metres east of Yonge Street,8:00 a.m. to 6:00 p.m.,1 hour,Mount Pleasant Road , a point 35 metres east of Yonge Street
1015,Glenforest Road,North,Yonge Street and a point 35 metres east of Yonge Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Yonge Street , a point 35 metres east of Yonge Street
1016,Glengarry Avenue,South,A point 36.6 metres west of Avenue Road and Grey Road,"8:00 a.m. to 6:00 p.m., Sat.",1 hour,A point 36.6 metres west of Avenue Road , Grey Road
1017,Glengarry Avenue,Both,Elm Road and a point 93.8 metres west of Elm Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Elm Road , a point 93.8 metres west of Elm Road
