,lat,lng,geo_hash,record_date,8hr_Vehicle_Vol,8hr_Pedestrian_Vol
295,43.6493419,-79.42078000000001,dpz82dp,2015-04-11,11860,7315
296,43.649350000000005,-79.39366000000001,dpz8365,2011-11-15,9856,3885
297,43.649355,-79.35655600000001,dpz864n,2009-12-01,11607,256
298,43.649418000000004,-79.371446,dpz83f5,2011-09-08,19335,17008
299,43.6494298,-79.568681,dpz2m65,2012-02-02,5947,585
300,43.6494457,-79.424738,dpz82dh,2012-03-20,14775,3301
301,43.6495146,-79.389134,dpz836n,2012-07-11,8831,5417
302,43.64961,-79.4298,dpz82d0,2012-02-08,8408,1895
303,43.6496233,-79.431438,dpz826p,2015-04-11,14442,5244
304,43.64963,-79.38213,dpz83d5,2012-08-07,8550,6037
305,43.6496427,-79.495413,dpz2r41,2012-05-28,14936,467
306,43.64978,-79.43364000000001,dpz826n,2012-05-15,8706,1664
307,43.649842,-79.37032,dpz83fh,2013-07-30,7485,6045
308,43.649860000000004,-79.41827,dpz82f1,2014-08-19,9477,1839
309,43.649876000000006,-79.380823,dpz83dh,2010-07-29,18630,27086
310,43.6498834,-79.435598,dpz826h,2015-04-08,10205,2094
311,43.6499164,-79.374409,dpz83f1,2009-04-23,13419,11277
312,43.64992,-79.39113,dpz836j,2009-08-20,9855,20656
313,43.6500629,-79.499278,dpz2qfq,2012-09-19,15105,419
314,43.6501396,-79.38624,dpz83d2,2009-08-13,30347,13600
315,43.650140500000006,-79.43971400000001,dpz8263,2015-04-11,13572,2756
316,43.650192000000004,-79.362162,dpz8646,2013-08-13,8833,3658
317,43.6502634,-79.4804017,dpz2r6k,2011-05-18,12678,4470
318,43.6503,-79.41595000000001,dpz82f7,2012-04-17,11987,1216
319,43.650382,-79.36789200000001,dpz83fq,2009-08-05,13597,4256
320,43.650419,-79.37843600000001,dpz83dq,2012-08-13,11784,25543
321,43.65043,-79.38858,dpz836r,2008-02-25,7554,3438
322,43.6504606,-79.3719239,dpz83f7,2011-09-07,17665,37719
323,43.6505005,-79.38462,dpz83d3,2012-07-10,13473,12639
324,43.65054,-79.47906,dpz2r6m,2010-04-14,11745,3639
325,43.6506527,-79.36668200000001,dpz83fq,2009-08-19,10245,2092
326,43.6506539,-79.37724800000001,dpz83dr,2011-07-19,9447,10555
327,43.650654,-79.443039,dpz824r,2014-09-09,13910,955
328,43.65073,-79.41393000000001,dpz82fk,2012-03-21,9436,1682
329,43.65073,-79.3707,dpz83fk,2011-06-20,6602,10848
330,43.650827,-79.386628,dpz83d2,2009-08-11,30573,17063
331,43.65091,-79.39723000000001,dpz8362,2012-08-28,9635,5444
332,43.651,-79.44002,dpz8263,2015-06-08,13586,2375
333,43.65101,-79.53933,dpz2q43,2014-12-20,20299,172
334,43.651070100000005,-79.346973,dpz866m,2013-05-27,10974,41
335,43.651147800000004,-79.47622700000001,dpz2r6r,2010-05-19,15025,11003
336,43.65115,-79.45851,dpz2rfk,2009-01-05,13710,366
337,43.651173,-79.374925,dpz83f2,2011-07-27,12868,5765
338,43.6511963,-79.445285,dpz824m,2015-06-08,13636,608
339,43.651199000000005,-79.3849089,dpz83d3,2011-08-24,6938,2620
340,43.651224400000004,-79.38145200000001,dpz83dk,2010-07-29,16177,11704
341,43.651281700000006,-79.368252,dpz83fm,2010-08-10,10293,4473
342,43.65129,-79.36401000000001,dpz8642,2009-08-20,10718,1526
343,43.65135,-79.41091,dpz82fq,2015-04-08,8875,2028
344,43.651410000000006,-79.52639,dpz2q66,2016-05-14,31272,376
345,43.65146,-79.57947,dpz2m4e,2012-02-16,12986,554
346,43.651520000000005,-79.45104,dpz8249,2009-01-19,8973,1781
347,43.6515337,-79.37236,dpz83fd,2012-08-15,19037,5679
348,43.6515514,-79.36273100000001,dpz8649,2011-11-08,14319,1680
349,43.651590000000006,-79.60313000000001,dpz2kdd,2012-03-22,16600,145
350,43.6516,-79.37108,dpz83fe,2009-08-19,9398,2697
351,43.65164,-79.47408,dpz2rd8,2012-05-01,11721,4002
352,43.651697000000006,-79.37896500000001,dpz83dw,2014-05-06,12388,24487
353,43.65185,-79.4364,dpz826s,2012-02-23,12364,2631
354,43.651875000000004,-79.369856,dpz83fs,2010-02-11,8624,3453
355,43.65189,-79.381698,dpz83ds,2011-08-31,19155,38815
356,43.651952200000004,-79.377756,dpz83dw,2012-07-10,12770,6969
357,43.651990000000005,-79.42173000000001,dpz82dw,2010-01-12,6627,830
358,43.65204,-79.40227,dpz834t,2009-08-12,9481,4598
359,43.65213,-79.44801000000001,dpz824e,2013-06-03,11264,926
360,43.65214,-79.3644,dpz8648,2009-08-18,6497,1393
361,43.652149200000004,-79.368634,dpz83ft,2011-07-19,12272,3649
362,43.652260000000005,-79.38012,dpz83dt,2010-06-16,7394,5027
363,43.652296,-79.40601500000001,dpz834d,2015-04-11,15414,10194
364,43.6524209,-79.379276,dpz83dt,2014-05-05,12035,26437
365,43.652433706000004,-79.360906587,dpz864e,2010-05-17,9522,487
366,43.652441,-79.375448,dpz83f8,2007-11-19,18354,4569
367,43.6525024,-79.47000700000001,dpz2rde,2012-05-28,11813,1627
368,43.6525538,-79.432536,dpz826w,2016-06-11,14803,5131
369,43.65265,-79.33556,dpz86dt,2013-04-22,5309,28
370,43.652670300000004,-79.378066,dpz83dw,2009-07-23,10480,11810
371,43.6527176,-79.37282400000001,dpz83fd,2015-12-08,19678,4369
372,43.6527207,-79.36321600000001,dpz8649,2013-08-13,10781,2650
373,43.652815700000005,-79.37157,dpz83fg,2013-08-13,8880,2605
374,43.6529371,-79.398015,dpz836b,2015-04-11,11107,26960
375,43.652965200000004,-79.382631,dpz83dg,2009-08-13,10085,6861
376,43.65299,-79.36475,dpz864b,2009-08-18,8428,560
377,43.653000000000006,-79.52489,dpz2q6g,2016-05-12,18524,190
378,43.653020000000005,-79.57255,dpz2m6c,2010-12-13,14132,394
379,43.653099000000005,-79.387585,dpz836z,2012-07-26,24140,4665
380,43.65317,-79.375754,dpz83fb,2011-08-16,12609,13157
381,43.65336,-79.39612000000001,dpz836c,2013-03-27,7630,9393
382,43.6533796,-79.36911400000001,dpz83fv,2012-07-11,15564,5520
383,43.6535154,-79.465232,dpz2rdz,2012-03-06,18925,1773
384,43.653562,-79.36358100000001,dpz864c,2010-07-29,9398,685
385,43.65364,-79.42638000000001,dpz82dg,2012-02-28,13572,2623
386,43.653704000000005,-79.373238,dpz83ff,2011-05-18,19772,3622
387,43.653810400000005,-79.393832,dpz836g,2013-03-28,11610,4911
388,43.65388,-79.45181000000001,dpz824b,2015-04-11,8966,2818
