,Car_Park_No,Name,Address,lat,lon,geohash
90,183,Queen/Woodbine,166 Woodbine Avenue and 193 Boardwalk Drive,43.66808750597262,-79.30668993086749,dpz87md
91,184,Boardwalk/Joseph Duggan,192 Boardwalk Drive and 117 Joseph Duggan Road,43.66512,-79.30678499999999,dpz87kf
92,185,Joseph Duggan/Sarah Ashbridge,116 Joseph Duggan Road and 119 Sarah Ashbridge Avenue,43.6675664804374,-79.30896887979704,dpz87m2
93,186,Sarah Ashbridge/Winners Circle,118 Sarah Ashbridge Avenue and 119 Winners Circle,43.667550545097846,-79.3090341601649,dpz87m2
94,187,Winners Circle/Northern Dancer,Winners Circle/Northern Dancer Boulevard,43.66544506075217,-79.3105820863797,dpz87jp
95,188,Beatrice,155 and 159 Beatrice Street,43.65474228726409,-79.41655973048084,dpz82g4
96,190,Richmond/Spadina,380 Richmond Street West,43.64812404858894,-79.39469820941767,dpz833f
97,193,Woodbine Beach,South limit of Coxwell Avenue at Lake Shore Boulevard West,43.66227599999999,-79.314804,dpz87hk
98,194,Ashbridges,South limit of Coxwell Avenue at Lake Shore Boulevard West,43.66227599999999,-79.314804,dpz87hk
99,195,Rowanwood/Price,15 Price Street,43.68005277266449,-79.38974640867914,dpz83rw
100,200,Woodbine Park East,1167 Eastern Avenue ,43.66574686678398,-79.31385768896102,dpz87jj
101,201,Victoria,259 Victoria Street,43.65582148043738,-79.37932884704846,dpz83em
102,202,Woodbine Park West,1141 Eastern Avenue,43.665721114894176,-79.31392376718189,dpz87jj
103,204,Dundas Street ,1117 Dundas Street West,43.6494617726645,-79.41991488022974,dpz82f0
104,205,Huron Street,465 Huron Street,43.66795339661836,-79.4018092704428,dpz83jt
105,206,Sunnyside/Windermere Avenue,South side Lakeshore Blvd. at Windermere Avenue,43.634997,-79.4679435,dpz2pxt
106,207,Sunnyside/Ellis Avenue,South side Lakeshore Blvd. at Ellis Avenue,43.63614900000002,-79.465122,dpz2pxx
